platforms:  (x, y, height, width, death, platform graphic, moving?[0=no,2=vert,1=horiz, 3=both, 4=falling])
800 525 0 01 0
1200 525 0 02 0 
1600 525 0 01 0
1825 525 1 06 0
1875 525 1 06 0
1925 525 1 06 0
1975 525 1 06 0
2025 525 1 06 0
2075 525 1 06 0
2125 525 1 06 0
2175 525 1 06 0
2400 525 0 01 0
2615 475 0 03 0
2830 300 0 02 0
3230 300 0 04 1
3730 300 0 04 3
4600 1100 0 02 0
5000 1100 0 01 0
5400 1100 0 01 0
5800 1100 0 02 0
6200 600 0 01 2
6200 1400 0 01 2
7000 600 0 01 2
7000 1400 0 01 2
6200 800 1 08 2
6600 800 1 08 2
7000 800 1 08 2
7000 2400 0 01 0
7400 2400 1 09 0
7800 2400 0 01 0
8200 2400 1 09 0
8600 2400 0 01 0
9000 2400 0 05 2
9400 2400 0 05 2
9800 2400 0 05 2
10300 2700 0 01 4
10600 2100 0 01 4
10900 1500 0 01 4 
11500 1000 0 04 1
11600 1000 1 09 0
11900 1000 0 04 1
